scenario,deadline,scheduler,max_zero_miss_mult
balanced,5.0,TwinSync,20.0
balanced,5.0,FIFO,1.0
balanced,5.0,RoundRobin,0.0
balanced,4.0,TwinSync,20.0
balanced,4.0,FIFO,1.0
balanced,4.0,RoundRobin,0.0
balanced,3.0,TwinSync,20.0
balanced,3.0,FIFO,0.0
balanced,3.0,RoundRobin,0.0
balanced,2.5,TwinSync,20.0
balanced,2.5,FIFO,0.0
balanced,2.5,RoundRobin,0.0
balanced,2.0,TwinSync,20.0
balanced,2.0,FIFO,0.0
balanced,2.0,RoundRobin,0.0
balanced,1.8,TwinSync,20.0
balanced,1.8,FIFO,0.0
balanced,1.8,RoundRobin,0.0
balanced,1.5,TwinSync,20.0
balanced,1.5,FIFO,0.0
balanced,1.5,RoundRobin,0.0
balanced,1.3,TwinSync,20.0
balanced,1.3,FIFO,0.0
balanced,1.3,RoundRobin,0.0
balanced,1.1,TwinSync,20.0
balanced,1.1,FIFO,0.0
balanced,1.1,RoundRobin,0.0
balanced,1.0,TwinSync,20.0
balanced,1.0,FIFO,0.0
balanced,1.0,RoundRobin,0.0
asymmetric,5.0,TwinSync,20.0
asymmetric,5.0,FIFO,0.0
asymmetric,5.0,RoundRobin,0.0
asymmetric,4.0,TwinSync,20.0
asymmetric,4.0,FIFO,0.0
asymmetric,4.0,RoundRobin,0.0
asymmetric,3.0,TwinSync,20.0
asymmetric,3.0,FIFO,0.0
asymmetric,3.0,RoundRobin,0.0
asymmetric,2.5,TwinSync,20.0
asymmetric,2.5,FIFO,0.0
asymmetric,2.5,RoundRobin,0.0
asymmetric,2.0,TwinSync,20.0
asymmetric,2.0,FIFO,0.0
asymmetric,2.0,RoundRobin,0.0
asymmetric,1.8,TwinSync,20.0
asymmetric,1.8,FIFO,0.0
asymmetric,1.8,RoundRobin,0.0
asymmetric,1.5,TwinSync,20.0
asymmetric,1.5,FIFO,0.0
asymmetric,1.5,RoundRobin,0.0
asymmetric,1.3,TwinSync,20.0
asymmetric,1.3,FIFO,0.0
asymmetric,1.3,RoundRobin,0.0
asymmetric,1.1,TwinSync,20.0
asymmetric,1.1,FIFO,0.0
asymmetric,1.1,RoundRobin,0.0
asymmetric,1.0,TwinSync,20.0
asymmetric,1.0,FIFO,0.0
asymmetric,1.0,RoundRobin,0.0
artemis,5.0,TwinSync,20.0
artemis,5.0,FIFO,0.0
artemis,5.0,RoundRobin,0.0
artemis,4.0,TwinSync,20.0
artemis,4.0,FIFO,0.0
artemis,4.0,RoundRobin,0.0
artemis,3.0,TwinSync,20.0
artemis,3.0,FIFO,0.0
artemis,3.0,RoundRobin,0.0
artemis,2.5,TwinSync,20.0
artemis,2.5,FIFO,0.0
artemis,2.5,RoundRobin,0.0
artemis,2.0,TwinSync,20.0
artemis,2.0,FIFO,0.0
artemis,2.0,RoundRobin,0.0
artemis,1.8,TwinSync,20.0
artemis,1.8,FIFO,0.0
artemis,1.8,RoundRobin,0.0
artemis,1.5,TwinSync,20.0
artemis,1.5,FIFO,0.0
artemis,1.5,RoundRobin,0.0
artemis,1.3,TwinSync,20.0
artemis,1.3,FIFO,0.0
artemis,1.3,RoundRobin,0.0
artemis,1.1,TwinSync,20.0
artemis,1.1,FIFO,0.0
artemis,1.1,RoundRobin,0.0
artemis,1.0,TwinSync,20.0
artemis,1.0,FIFO,0.0
artemis,1.0,RoundRobin,0.0
