scenario_type,scheduler_type,seed,tt_rate_mult,tt_deadline,dynamic_config_id,cnt_staleness,cnt_failure_rate,cnt_noise_id,mission_count,experiment,tt_miss_rate,rc_miss_rate,be_miss_rate,tt_misses,rc_misses,be_misses,tt_total,rc_total,be_total,jain_index,mean_utilization,mean_worst_tt_aos,max_worst_tt_aos,mean_sched_time,median_sched_time,p95_sched_time,max_sched_time
balanced,FIFO,1026,1.0,3.0,B1-a,0,0.0,none,0,B,0.0381679389312977,0.0,0.0,40,0,0,1048,2000,1361,0.9998728379943336,226.05,-1.01,1.0,6.568808013980743e-06,6.582999958482105e-06,9.044100715982494e-06,1.8917000488727357e-05
balanced,FIFO,1027,1.0,3.0,B1-a,0,0.0,none,0,B,0.0338818973862536,0.0,0.0,35,0,0,1033,2000,1368,0.9999588349449312,227.425,-1.114,1.0,6.179380026878789e-06,5.874999715160811e-06,8.294050485346813e-06,1.6291999600070994e-05
balanced,FIFO,1028,1.0,3.0,B1-a,0,0.0,none,0,B,0.0452830188679245,0.0,0.0,48,0,0,1060,2000,1364,0.9999986926842716,227.425,-1.43,1.0,6.0182980068930194e-06,5.709000106435269e-06,8.624999327366823e-06,1.4666999959445093e-05
balanced,FIFO,1029,1.0,3.0,B1-a,0,0.0,none,0,B,0.0458452722063037,0.0,0.0,48,0,0,1047,2000,1361,0.9999557002131764,226.85,-1.612,1.0,5.693539997082553e-06,5.290999979479238e-06,8.379200062336164e-06,1.5666999388486147e-05
balanced,FIFO,1000,1.0,3.0,B1-b,0,0.0,none,0,B,0.0039024390243902,0.0,0.0,4,0,0,1025,2000,1361,0.9999811226925628,227.125,-1.744,1.0,5.546661999687785e-06,5.291999514156487e-06,7.419049325108061e-06,3.362600000400562e-05
balanced,FIFO,1001,1.0,3.0,B1-b,0,0.0,none,0,B,0.01171875,0.0,0.0,12,0,0,1024,2000,1372,0.9998990026511804,227.85,-1.738,1.0,6.007537982441136e-06,5.416999556473456e-06,8.41904970911855e-06,7.541800005128607e-05
balanced,FIFO,1002,1.0,3.0,B1-b,0,0.0,none,0,B,0.0178926441351888,0.0,0.0,18,0,0,1006,2000,1383,0.9999319534729773,228.125,-1.05,1.0,6.379986010870197e-06,6.250000296859071e-06,8.294049621326847e-06,1.5999999959603883e-05
balanced,FIFO,1003,1.0,3.0,B1-b,0,0.0,none,0,B,0.0118343195266272,0.0,0.0,12,0,0,1014,2000,1320,0.9999997856653408,223.9,-1.89,1.0,5.221821991653996e-06,4.958000317856204e-06,7.667000318178907e-06,1.500000053056283e-05
balanced,FIFO,1004,1.0,3.0,B1-b,0,0.0,none,0,B,0.0102459016393442,0.0,0.0,10,0,0,976,2000,1365,0.9999692223053648,226.2,-1.332,1.0,6.149383994852542e-06,5.832999704580288e-06,8.710099791642277e-06,1.7000999832816888e-05
balanced,FIFO,1005,1.0,3.0,B1-b,0,0.0,none,0,B,0.0190657769304099,0.0,0.0,20,0,0,1049,2000,1327,0.9999719544582816,224.55,-0.756,1.0,6.709772003887338e-06,6.666999979643151e-06,8.967300300355411e-06,3.779300004680408e-05
balanced,FIFO,1006,1.0,3.0,B1-b,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,1045,2000,1330,0.9999357694251348,225.5,-2.054,1.0,5.189606021303916e-06,4.959000307280803e-06,6.961049621168057e-06,1.908400008687749e-05
balanced,FIFO,1007,1.0,3.0,B1-b,0,0.0,none,0,B,0.0228174603174603,0.0,0.0,23,0,0,1008,2000,1341,0.9999946366962392,224.825,-1.494,1.0,5.984130013530375e-06,5.583000529441051e-06,8.416050150117371e-06,3.587600076571107e-05
balanced,FIFO,1008,1.0,3.0,B1-b,0,0.0,none,0,B,0.008955223880597,0.0,0.0,9,0,0,1005,2000,1326,0.9999991426619148,224.225,-1.928,1.0,5.575307990511646e-06,5.332999990059761e-06,7.832999517631834e-06,1.62090000230819e-05
balanced,FIFO,1009,1.0,3.0,B1-b,0,0.0,none,0,B,0.0352716873212583,0.0,0.0,37,0,0,1049,2000,1343,0.9999991552234644,225.825,-1.09,1.0,6.426017978810705e-06,6.24999984211172e-06,8.666999747219961e-06,1.766700006555766e-05
balanced,FIFO,1010,1.0,3.0,B1-b,0,0.0,none,0,B,0.0,0.0,0.0,0,0,0,1022,2000,1311,0.9999980763385798,223.5,-2.28,1.0,5.299417996866395e-06,5.083000360173173e-06,7.544050276919732e-06,1.183299991680542e-05
balanced,FIFO,1011,1.0,3.0,B1-b,0,0.0,none,0,B,0.0057803468208092,0.0,0.0,6,0,0,1038,2000,1350,0.9999466261470166,226.9,-1.766,1.0,5.682104014340439e-06,5.417000465968158e-06,7.631250718986842e-06,1.6541999684704933e-05
balanced,FIFO,1012,1.0,3.0,B1-b,0,0.0,none,0,B,0.0030150753768844,0.0,0.0,3,0,0,995,2000,1349,0.9999965959185064,225.7,-1.884,1.0,5.425856024885434e-06,5.084000349597773e-06,7.627100694662656e-06,1.0834000022441614e-05
balanced,FIFO,1013,1.0,3.0,B1-b,0,0.0,none,0,B,0.020812685827552,0.0,0.0,21,0,0,1009,2000,1335,0.9999894879787528,224.575,-2.134,1.0,5.253119990811683e-06,4.91700029670028e-06,8.000049956535803e-06,2.40420004047337e-05
balanced,FIFO,1014,1.0,3.0,B1-b,0,0.0,none,0,B,0.0019782393669634,0.0,0.0,2,0,0,1011,2000,1381,0.9998989103200868,228.075,-0.844,1.0,6.422631993700634e-06,6.374999429681338e-06,8.04199958110985e-06,1.874999998108251e-05
balanced,FIFO,1015,1.0,3.0,B1-b,0,0.0,none,0,B,0.0059055118110236,0.0,0.0,6,0,0,1016,2000,1323,0.999999144247374,223.95,-1.986,1.0,5.318502006048221e-06,4.916000307275681e-06,7.796150339345327e-06,2.887600021495018e-05
balanced,FIFO,1016,1.0,3.0,B1-b,0,0.0,none,0,B,0.0038948393378773,0.0,0.0,4,0,0,1027,2000,1336,0.9997967100020584,225.175,-1.856,1.0,5.398013998274109e-06,5.207999492995441e-06,7.458050231434754e-06,2.1083000319777057e-05
balanced,FIFO,1017,1.0,3.0,B1-b,0,0.0,none,0,B,0.0127077223851417,0.0,0.0,13,0,0,1023,2000,1352,0.9999424263107002,225.825,-1.11,1.0,6.397205970642972e-06,5.999999757477781e-06,9.63220004450704e-06,2.083399976982037e-05
balanced,FIFO,1018,1.0,3.0,B1-b,0,0.0,none,0,B,0.0185365853658536,0.0,0.0,19,0,0,1025,2000,1283,0.9999955720307596,220.725,-2.062,1.0,5.188777979128645e-06,4.750000243802788e-06,7.752099872959659e-06,1.3042000318819191e-05
balanced,FIFO,1019,1.0,3.0,B1-b,0,0.0,none,0,B,0.023391812865497,0.0,0.0,24,0,0,1026,2000,1363,0.999997409305879,226.4,-1.252,1.0,5.941785990216886e-06,5.750499894929817e-06,8.128049603328688e-06,1.4500000361294951e-05
balanced,FIFO,1020,1.0,3.0,B1-b,0,0.0,none,0,B,0.0029556650246305,0.0,0.0,3,0,0,1015,2000,1338,0.9998821392080544,224.55,-1.718,1.0,5.607179971775622e-06,5.208500169828767e-06,7.502099788325721e-06,1.9500999769661576e-05
balanced,FIFO,1021,1.0,3.0,B1-b,0,0.0,none,0,B,0.0284872298624754,0.0,0.0,29,0,0,1018,2000,1362,0.9999388562306876,226.725,-1.644,1.0,5.662188010319369e-06,5.3544999900623225e-06,8.29310006338346e-06,1.8041999283013865e-05
balanced,FIFO,1022,1.0,3.0,B1-b,0,0.0,none,0,B,0.0056657223796034,0.0,0.0,6,0,0,1059,2000,1353,0.9999999480405304,226.85,-1.58,1.0,5.8395080031914405e-06,5.583000529441051e-06,7.999999979801942e-06,1.4332999853650108e-05
balanced,FIFO,1023,1.0,3.0,B1-b,0,0.0,none,0,B,0.0079920079920079,0.0,0.0,8,0,0,1001,2000,1351,0.9999991521090864,226.15,-1.334,1.0,6.040113989001839e-06,5.709000106435269e-06,8.249999200415915e-06,2.912499985541217e-05
balanced,FIFO,1024,1.0,3.0,B1-b,0,0.0,none,0,B,0.0108588351431391,0.0,0.0,11,0,0,1013,2000,1320,0.9999878821864157,223.35,-1.782,1.0,5.452606004837435e-06,5.083999894850422e-06,8.086050002020782e-06,1.7999999727180693e-05
balanced,FIFO,1025,1.0,3.0,B1-b,0,0.0,none,0,B,0.0241206030150753,0.0,0.0,24,0,0,995,2000,1357,0.9999662462005372,224.75,-1.532,1.0,5.601436005235882e-06,5.333000444807112e-06,7.957999514474068e-06,1.2124999557272533e-05
