scenario_type,scheduler_type,seed,tt_rate_mult,tt_deadline,dynamic_config_id,cnt_staleness,cnt_failure_rate,cnt_noise_id,mission_count,experiment,tt_miss_rate,rc_miss_rate,be_miss_rate,tt_misses,rc_misses,be_misses,tt_total,rc_total,be_total,jain_index,mean_utilization,mean_worst_tt_aos,max_worst_tt_aos,mean_sched_time,median_sched_time,p95_sched_time,max_sched_time
balanced,TwinSync,1000,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0318754633061527,0,0,43,1006,2000,1349,0.9999906744306906,218.975,-3.0,-3.0,2.317561601739726e-05,2.379099987592781e-05,3.108715004600526e-05,0.0002396230001977
balanced,TwinSync,1001,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0412067696835908,0,0,56,1003,2000,1359,0.9999821131442994,219.05,-3.0,-3.0,2.19131540015951e-05,2.2958000045036897e-05,2.9085100277370656e-05,7.54569991840981e-05
balanced,TwinSync,1002,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0481400437636761,0,0,66,987,2000,1371,0.9999731290549312,218.95,-3.0,-3.0,2.137900602792797e-05,2.216699976997916e-05,3.0885399519320336e-05,4.012499994132668e-05
balanced,TwinSync,1003,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0252293577981651,0,0,33,999,2000,1308,0.9999999440854794,217.225,-3.0,-3.0,1.8639500007338937e-05,2.127049992850516e-05,2.7960099941992663e-05,4.495699977269396e-05
balanced,TwinSync,1004,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.022140221402214,0,0,30,961,2000,1355,0.999996429930127,219.5,-3.0,-3.0,2.100133399835613e-05,2.218750023530447e-05,2.9960099709569477e-05,3.604100038501201e-05
balanced,TwinSync,1005,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0304182509505703,0,0,40,1031,2000,1315,0.9999986243474868,218.175,-3.0,-3.0,1.8281233982634148e-05,1.7750000097294105e-05,2.59190500855766e-05,4.40419998994912e-05
balanced,TwinSync,1006,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0212443095599393,0,0,28,1022,2000,1318,0.9999401362650328,218.775,-3.0,-3.0,2.125722601158486e-05,2.3249499918165384e-05,3.013750019817961e-05,5.112500002724119e-05
balanced,TwinSync,1007,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0196374622356495,0,0,26,990,2000,1324,0.9999874431551634,217.975,-3.0,-3.0,1.930433000779885e-05,2.1042000298621133e-05,2.701040002648369e-05,3.545800063875504e-05
balanced,TwinSync,1008,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.017530487804878,0,0,23,983,2000,1312,0.9999999445061843,219.225,-3.0,-3.0,4.629703002865426e-05,2.014499978031381e-05,2.5791049665713217e-05,0.0134565160005877
balanced,TwinSync,1009,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0383170548459804,0,0,51,1026,2000,1331,0.9999997797920444,218.35,-3.0,-3.0,1.9864154017341207e-05,1.9895499917765846e-05,2.6968400470650517e-05,4.3791000280180015e-05
balanced,TwinSync,1010,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0,0,0,0,999,2000,1299,0.9999906656620194,219.175,-3.0,-3.0,1.5590172006341162e-05,1.62080000336573e-05,2.0460100085983867e-05,3.312499939056579e-05
balanced,TwinSync,1011,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0449101796407185,0,0,60,1027,2000,1336,0.9999875726653872,217.775,-3.0,-3.0,1.98494980140822e-05,2.0437500097614247e-05,3.0133350173855425e-05,3.875000038533472e-05
balanced,TwinSync,1012,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0238984316654219,0,0,32,974,2000,1339,0.99999799183256,218.85,-3.0,-3.0,1.803693800320616e-05,1.7625000054977136e-05,2.691905042411236e-05,3.570799981389428e-05
balanced,TwinSync,1013,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0166414523449319,0,0,22,985,2000,1322,0.9999932599128022,218.525,-3.0,-3.0,1.8849016012609355e-05,2.029200004471932e-05,2.758504979283316e-05,3.4499000321375206e-05
balanced,TwinSync,1014,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0532458059810357,0,0,73,989,2000,1371,0.9999427738711756,217.8,-3.0,-3.0,2.251904799231852e-05,2.2291500044957505e-05,3.192019989910477e-05,7.291600013559218e-05
balanced,TwinSync,1015,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0175706646294881,0,0,23,995,2000,1309,0.9999729253004564,217.35,-3.0,-3.0,1.7967594005313005e-05,1.9187500129191903e-05,2.941809993899369e-05,4.070799968758365e-05
balanced,TwinSync,1016,1.0,3.0,C1_stale_0,0,0.0,none,0,C,0.0,0.0,0.0272108843537414,0,0,36,1005,2000,1323,0.9999875375438416,218.425,-3.0,-3.0,1.996968000094057e-05,2.0145500457147136e-05,2.800109991767385e-05,3.7666000025637913e-05
