scenario_type,scheduler_type,seed,tt_rate_mult,tt_deadline,dynamic_config_id,cnt_staleness,cnt_failure_rate,cnt_noise_id,mission_count,experiment,tt_miss_rate,rc_miss_rate,be_miss_rate,tt_misses,rc_misses,be_misses,tt_total,rc_total,be_total,jain_index,mean_utilization,mean_worst_tt_aos,max_worst_tt_aos,mean_sched_time,median_sched_time,p95_sched_time,max_sched_time
scale_2,TwinSync,1000,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0150375939849624,0.4764150943396226,0,4,101,203,266,212,0.957810218978102,51.13636363636363,-2.84,-2.0,7.388450017060677e-06,8.10350002211635e-06,1.1750000339816324e-05,2.391599991824478e-05
scale_2,TwinSync,1001,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0150943396226415,0.4471153846153846,0,4,93,210,265,208,0.9678353353505096,50.44466403162054,-2.86,-2.0,7.137610014069651e-06,8.020999757718528e-06,1.1207999750695308e-05,1.583299945195904e-05
scale_2,TwinSync,1002,1.0,3.0,none,0,0.0,none,2,D,0.0,0.0533807829181494,0.4974619289340101,0,15,98,203,281,197,0.9623401652075236,48.86363636363636,-2.87,-2.0,7.307400005629461e-06,8.396000339416787e-06,1.1502050256240182e-05,1.7749999642546754e-05
scale_2,FIFO,1000,1.0,3.0,none,0,0.0,none,2,D,0.4679802955665024,0.3345864661654135,0.0,95,89,0,203,266,212,0.8551753102868977,53.11264822134387,-0.04,1.0,3.866810002364218e-06,3.853999714920064e-06,4.962200318914255e-06,5.750000127591193e-06
scale_2,FIFO,1001,1.0,3.0,none,0,0.0,none,2,D,0.4571428571428571,0.3396226415094339,0.0,96,90,0,210,265,208,0.8618196280443923,51.48221343873517,0.095,1.0,3.853884963973542e-06,3.8124999264255166e-06,5.083050336907036e-06,5.791000148747116e-06
scale_2,FIFO,1002,1.0,3.0,none,0,0.0,none,2,D,0.4433497536945813,0.3665480427046263,0.0,90,103,0,203,281,197,0.8648269410664172,50.64229249011857,-0.08,1.0,4.046604990435299e-06,4.021000222564908e-06,5.210099516261834e-06,7.167000148911029e-06
scale_2,RoundRobin,1000,1.0,3.0,none,0,0.0,none,2,D,0.458128078817734,0.4097744360902255,0.589622641509434,93,109,125,203,266,212,0.8769248378481496,32.11462450592885,0.07,1.0,1.650625004003814e-06,1.6250005501206033e-06,2.467299918862406e-06,8.207999599108007e-06
scale_2,RoundRobin,1001,1.0,3.0,none,0,0.0,none,2,D,0.4238095238095238,0.4188679245283019,0.5721153846153846,89,111,119,210,265,208,0.8935619314205738,31.373517786561266,0.03,1.0,1.6524649890925502e-06,1.6250005501206033e-06,2.5041999379027387e-06,3.832999937003478e-06
scale_2,RoundRobin,1002,1.0,3.0,none,0,0.0,none,2,D,0.4187192118226601,0.4448398576512455,0.6040609137055838,85,125,119,203,281,197,0.864909288261746,30.63241106719368,-0.215,1.0,1.6335250074916985e-06,1.6249996406259015e-06,2.3749998945277184e-06,8.957999853009824e-06
scale_4,TwinSync,1000,1.0,3.0,none,0,0.0,none,4,D,0.0,0.0,0.175438596491228,0,0,70,398,530,399,0.9907568602425016,50.75757575757575,-2.835,-2.0,1.1405075006223344e-05,1.1270500181126408e-05,1.4877049579808954e-05,1.9999999494757503e-05
scale_4,TwinSync,1001,1.0,3.0,none,0,0.0,none,4,D,0.0,0.0,0.1492537313432835,0,0,60,408,506,402,0.9914052450043308,50.715488215488215,-2.825,-2.0,1.0873854989768006e-05,1.1000000085914508e-05,1.412705023540184e-05,1.6582999705860857e-05
scale_4,TwinSync,1002,1.0,3.0,none,0,0.0,none,4,D,0.0,0.0,0.1742424242424242,0,0,69,411,545,396,0.989951101560932,51.53619528619529,-2.875,-2.0,1.1424240010455832e-05,1.1291499959042994e-05,1.5432699774464703e-05,2.808299996104324e-05
scale_4,FIFO,1000,1.0,3.0,none,0,0.0,none,4,D,0.2085427135678391,0.0641509433962264,0.0,83,34,0,398,530,399,0.9692696423796244,51.83080808080808,-0.115,1.0,7.121184999050456e-06,7.124500370991882e-06,9.502100465397232e-06,1.0083000233862547e-05
scale_4,FIFO,1001,1.0,3.0,none,0,0.0,none,4,D,0.2034313725490196,0.0474308300395256,0.0,83,24,0,408,506,402,0.9720277171954972,51.59932659932659,-0.175,1.0,7.10139498096396e-06,6.854500043118605e-06,9.588100465407478e-06,2.5958000151149463e-05
scale_4,FIFO,1002,1.0,3.0,none,0,0.0,none,4,D,0.1995133819951338,0.0678899082568807,0.0,82,37,0,411,545,396,0.9683845058058548,52.44107744107743,-0.325,1.0,6.987605006543163e-06,6.957999630685663e-06,9.207999937643764e-06,2.6083000193466432e-05
scale_4,RoundRobin,1000,1.0,3.0,none,0,0.0,none,4,D,0.6733668341708543,0.6283018867924528,0.7243107769423559,268,333,289,398,530,399,0.9540335619111334,14.541245791245792,0.81,1.0,2.501665017007326e-06,2.5624999580031727e-06,3.958999559472431e-06,7.249999725900125e-06
scale_4,RoundRobin,1001,1.0,3.0,none,0,0.0,none,4,D,0.6887254901960784,0.6324110671936759,0.7139303482587065,281,320,287,408,506,402,0.9826747359677228,14.351851851851851,0.77,1.0,2.496424995115376e-06,2.499999936844688e-06,4.295200551496235e-06,8.750000233703759e-06
scale_4,RoundRobin,1002,1.0,3.0,none,0,0.0,none,4,D,0.6982968369829684,0.6422018348623854,0.702020202020202,287,350,278,411,545,396,0.9463836305941568,14.730639730639728,0.805,1.0,2.7352000097380368e-06,2.5829999685811345e-06,4.249999619787559e-06,8.750000233703759e-06
scale_6,TwinSync,1000,1.0,3.0,none,0,0.0,none,6,D,0.0,0.0,0.0952380952380952,0,0,58,600,790,609,0.9923408492148038,61.88685415304119,-2.67,-2.0,1.6009624987418645e-05,1.5437000001838896e-05,2.158605002477998e-05,3.545800063875504e-05
